Date,AAPL,MSFT,AMZN,SPY,IWM
2015-01-31,26.065500,34.694700,17.726500,167.044000,104.515000
2015-02-28,28.686100,37.922800,19.008000,176.441000,110.717000
2015-03-31,27.787200,35.157500,18.605000,173.676000,112.672000
2015-04-30,27.948000,42.063100,21.089000,175.380000,109.755000
2015-05-31,29.210300,40.789400,21.461500,177.629000,112.235000
2015-06-30,28.126100,38.431700,21.704500,174.059000,113.109000
2015-07-31,27.199900,40.648900,26.807500,177.954000,111.868000
2015-08-31,25.400100,38.129900,25.644500,167.110000,104.843000
2015-09-30,24.850400,38.781300,25.594500,162.831000,99.613300
2015-10-31,26.921900,46.118500,31.295000,176.701000,105.259000
2015-11-30,26.766300,47.940100,33.240000,177.333000,108.673000
2015-12-31,23.817700,48.935300,33.794500,174.297000,103.176000
2016-01-31,22.019900,48.548500,29.280500,165.608000,94.344600
2016-02-29,21.992500,45.202400,27.626000,165.463000,94.136300
2016-03-31,24.791200,49.064500,29.682000,176.613000,101.698000
2016-04-30,21.321400,44.314700,32.979500,177.276000,103.364000
2016-05-31,22.852700,47.416600,36.139500,180.309000,105.676000
2016-06-30,21.879000,45.776900,35.781000,180.931000,105.676000
2016-07-31,23.850000,50.707300,37.940500,187.536000,111.878000
2016-08-31,24.415700,51.724800,38.458000,187.766000,113.863000
2016-09-30,26.009400,51.851000,41.865500,187.775000,115.113000
2016-10-31,26.122700,53.942200,39.491000,184.509000,109.795000
2016-11-30,25.559800,54.611200,37.528500,191.307000,121.950000
2016-12-31,26.785800,56.317600,37.493500,195.172000,125.472000
2017-01-31,28.066900,58.589400,41.174000,198.675000,125.819000
2017-02-28,31.819800,58.336500,42.252000,206.504000,128.250000
2017-03-31,33.366900,60.048800,44.327000,206.734000,128.290000
2017-04-30,33.365000,62.420500,46.249500,208.782000,129.759000
2017-05-31,35.625900,64.042500,49.731000,211.769000,127.229000
2017-06-30,33.591700,63.209400,48.400000,213.090000,131.496000
2017-07-31,34.685700,66.666200,49.389000,217.483000,132.637000
2017-08-31,38.398200,68.955800,49.030000,218.106000,130.969000
2017-09-30,36.085000,68.670300,48.067500,222.516000,139.205000
2017-10-31,39.584700,76.682600,55.264000,227.751000,140.237000
2017-11-30,40.380900,77.985600,58.837500,234.701000,144.345000
2017-12-31,39.767000,79.253300,58.473500,237.553000,143.789000
2018-01-31,39.346300,88.029300,72.544500,250.922000,147.451000
2018-02-28,42.032600,87.284200,75.622500,241.822000,141.784000
2018-03-31,39.591500,84.961400,72.367000,235.199000,143.531000
2018-04-30,38.995300,87.054500,78.306500,236.403000,144.920000
2018-05-31,44.260800,92.403100,81.481000,242.148000,153.871000
2018-06-30,43.845900,92.190300,84.990000,243.565000,154.773000
2018-07-31,45.071000,99.147800,88.872000,252.596000,157.354000
2018-08-31,54.104900,105.409000,100.636000,260.637000,164.141000
2018-09-30,53.657600,107.335000,100.150000,262.198000,160.321000
2018-10-31,52.022700,100.233000,79.900500,244.082000,142.708000
2018-11-30,42.594300,104.512000,84.508500,248.588000,145.169000
2018-12-31,37.625500,95.743700,75.098500,226.699000,127.804000
2019-01-31,39.700900,98.445400,85.936500,244.838000,142.261000
2019-02-28,41.478700,106.044000,81.991500,252.811000,149.624000
2019-03-31,45.499600,111.630000,89.037500,257.355000,146.498000
2019-04-30,48.068700,123.646000,96.326000,267.893000,151.479000
2019-05-31,42.099600,117.511000,88.753500,250.781000,139.572000
2019-06-30,47.591800,127.288000,94.681500,268.246000,149.317000
2019-07-31,51.228300,129.486000,93.339000,272.294000,150.348000
2019-08-31,50.388600,131.410000,88.814500,267.751000,142.935000
2019-09-30,54.060800,132.524000,86.795500,272.947000,145.843000
2019-10-31,60.045500,136.666000,88.833000,278.985000,149.792000
2019-11-30,64.702800,144.810000,90.040000,289.074000,155.895000
2019-12-31,71.091100,150.829000,92.392000,297.478000,160.221000
2020-01-31,74.937400,162.823000,100.436000,297.351000,155.250000
2020-02-29,66.337900,155.378000,94.187500,273.828000,141.527000
2020-03-31,61.709000,151.258000,97.486000,239.640000,111.134000
2020-04-30,71.299000,171.878000,123.700000,270.067000,126.524000
2020-05-31,77.366900,176.242000,122.118000,282.930000,134.849000
2020-06-30,88.767100,195.719000,137.941000,287.954000,139.483000
2020-07-31,103.436000,197.173000,158.234000,304.904000,143.561000
2020-08-31,125.829000,217.421000,172.548000,326.189000,151.420000
2020-09-30,112.918000,202.781000,157.436000,313.977000,146.488000
2020-10-31,106.149000,195.211000,151.808000,306.149000,149.713000
2020-11-30,116.290000,206.921000,158.402000,339.437000,177.030000
2020-12-31,129.613000,215.000000,162.846000,352.023000,192.331000
2021-01-31,128.894000,224.230000,160.310000,348.434000,201.648000
2021-02-28,118.616000,225.136000,154.646000,358.130000,214.160000
2021-03-31,119.491000,228.430000,154.704000,374.391000,217.147000
2021-04-30,128.599000,244.322000,173.371000,394.202000,221.027000
2021-05-31,122.104000,242.455000,161.154000,396.787000,221.633000
2021-06-30,134.214000,263.064000,172.008000,405.687000,225.771000
2021-07-31,142.929000,276.668000,166.380000,415.592000,217.584000
2021-08-31,149.007000,293.714000,173.540000,427.968000,222.377000
2021-09-30,138.857000,274.296000,164.252000,408.012000,215.967000
2021-10-31,147.006000,322.644000,168.622000,436.649000,225.155000
2021-11-30,162.459000,322.235000,175.354000,433.135000,215.401000
2021-12-31,174.514000,327.822000,166.717000,453.169000,220.293000
2022-01-31,171.772000,303.120000,149.574000,429.269000,199.296000
2022-02-28,162.489000,291.840000,153.563000,416.598000,201.351000
2022-03-31,171.822000,301.136000,162.998000,432.267000,203.683000
2022-04-30,155.138000,271.065000,124.282000,394.327000,183.520000
2022-05-31,146.682000,266.163000,120.210000,395.216000,183.877000
2022-06-30,134.738000,251.440000,106.210000,362.629000,168.489000
2022-07-31,160.155000,274.848000,134.950000,396.023000,186.288000
2022-08-31,155.156000,256.527000,126.770000,379.865000,182.557000
2022-09-30,136.385000,228.496000,113.000000,344.750000,164.920000
2022-10-31,151.326000,227.740000,102.440000,372.772000,183.330000
2022-11-30,146.328000,251.022000,96.540000,393.496000,187.370000
2022-12-31,128.437000,235.949000,84.000000,370.819000,174.360000
2023-01-31,142.632000,243.810000,103.130000,394.139000,191.480000
2023-02-28,145.938000,246.009000,94.230000,384.227000,188.180000
2023-03-31,163.255000,284.355000,103.290000,398.475000,178.400000
2023-04-30,167.985000,303.055000,105.450000,404.841000,175.200000
2023-05-31,175.723000,324.604000,120.580000,406.709000,173.770000
2023-06-30,192.298000,336.616000,130.360000,433.065000,187.270000
2023-07-31,194.757000,332.048000,133.680000,447.241000,198.710000
2023-08-31,186.504000,324.668000,138.010000,439.972000,188.610000
2023-09-30,169.965000,312.771000,127.120000,419.103000,176.740000
2023-10-31,169.527000,334.921000,133.090000,410.004000,164.520000
2023-11-30,188.816000,376.098000,146.090000,447.455000,179.660000
2023-12-31,191.382000,373.249000,151.940000,467.884000,200.710000
2024-01-31,183.299000,394.628000,155.200000,475.335000,192.880000
2024-02-29,179.900000,411.329000,176.760000,500.142000,203.730000
2024-03-31,170.674000,418.370000,180.380000,516.498000,210.300000
2024-04-30,169.529000,387.155000,175.000000,495.672000,195.900000
2024-05-31,191.606000,413.555000,176.440000,520.743000,205.770000
2024-06-30,209.914000,445.255000,193.250000,539.115000,202.890000
2024-07-31,221.336000,416.763000,186.980000,545.643000,223.860000
2024-08-31,228.497000,416.307000,178.500000,558.393000,220.080000
2024-09-30,232.488000,429.440000,186.330000,570.121000,220.890000
2024-10-31,225.414000,405.538000,186.400000,565.034000,217.760000
2024-11-30,237.069000,423.460000,207.890000,598.728000,241.870000
2024-12-31,250.145000,421.500000,219.390000,584.323000,220.960000
2025-01-31,235.741000,415.060000,237.680000,600.016000,226.480000
